Thread,Reviewers,Author(s),Year,Paper Title,C1_AVs_are_infrastructure,C1_AVs_are_infrastructure_reason,C2_arrives_without_input,C2_arrives_without_input_reason,C3_efficiency_values,C3_efficiency_values_reason,C4_community_concerns_govern,C4_community_concerns_govern_reason,C5_misalignment,C5_misalignment_reason,C6_broader_pattern,C6_broader_pattern_reason,C7_mobility_as_social_service,C7_mobility_as_social_service_reason
Engineering/Safety,"Amy, Saanvi","Hicks, D., Kingsley, G., & Isett, K.R.",2025,Steering the future: expert knowledge and stakeholder voices in autonomous vehicle policy reports,direct,About AV policy reports and advisory infrastructure directly,direct,"Convening mode shows legitimacy-seeking AV policy still routes through officials, not communities",partial,"Expert mode privileges technical credibility, adjacent to efficiency logic",none,Does not document community concerns shaping outcomes,partial,Implies misalignment via omission of community consultation,partial,Evidence within the AV domain only; no explicit broader claim,none,No relational/provisioning framing
Engineering/Safety,"Amy, Saanvi","London, A.J. & Danks, D.",2018,Regulating Autonomous Vehicles: A Policy Proposal,direct,Proposes infrastructure-scale regulatory regime for AV deployment,partial,Never discusses who decides an AV should be deployed in a community,direct,Entirely an engineering-certification safety framing,none,No community concerns discussed,partial,"Drug-approval analogy ignores non-consenting neighbors, an implied misalignment",none,"AV-specific proposal, no generalization claim",none,No relational framing
Engineering/Safety,"Amy, Saanvi","Robles, P. & Mallinson, D.J.",2024,Policy Learning and the Diffusion of Autonomous Vehicle Policy in the American States,direct,AV policy diffusion across state regulatory infrastructure,partial,Regulation shown as insider conversation among governments and industry,partial,"Diffusion driven by interstate learning and industry consultation, efficiency-adjacent",none,No community concerns examined,none,Does not compare against community concerns,none,AV-specific,none,No relational framing
Engineering/Safety,"Amy, Saanvi","Alkurdi, D. & Alsaid, A.",2025,Trust in Level 3 Automated Vehicles: A Systematic Literature Review,partial,"AV-specific but vehicle-level, not infrastructure framing",none,Not about community input,direct,Trust treated as individually measured psychological variable,none,No community concerns,none,,none,AV-specific,none,No relational framing
Engineering/Safety,"Amy, Saanvi","Lee, J.D. & Kolodge, K.",2020,Exploring Trust in Self-Driving Vehicles Through Text Analysis,none,"Consumer-level trust study, no infrastructure framing",none,Not about community input,direct,Field measures trust as an individual attitude to be managed for brand acceptance,partial,"Surfaces relational/societal trust bases, but routes them to manufacturer strategy",partial,Demonstrates relational trust being redirected away from community authority,none,AV-specific,none,No relational framing
Engineering/Safety,"Amy, Saanvi","Kraus, J., Scholz, D., Stiegemeier, D., & Baumann, M.",2020,"The More You Know: Trust Dynamics and Calibration in Highly Automated Driving and the Effects of Take-Overs, System Malfunction, and System Transparency",none,Simulator study of individual driver trust,none,,direct,"Trust operationalized as a repeatedly measured scalar, an engineering control variable",none,,none,,none,AV-specific,none,
Engineering/Safety,"Amy, Saanvi","Zhang, B., de Winter, J., Varotto, S., Happee, R., & Martens, M.",2019,Determinants of take-over time from automated driving: A meta-analysis of 129 studies,partial,"AV handover behavior, vehicle-level not infrastructure",none,,direct,Field vocabulary built entirely around efficiency and safety-margin optimization,none,,none,,none,AV-specific,none,
Engineering/Safety,"Amy, Saanvi","Peng, Q., Wu, Y., Qie, N., & Iwaki, S.",2022,Age-related effects of executive function on takeover performance in automated driving,none,"Cognitive testing study, no infrastructure framing",none,,direct,Frames older adults through an engineering-safety lens rather than service or relational one,partial,"Older adults appear only as a population to be screened, not as agents shaping design",partial,Illustrates the safety-metric framing eclipsing a service framing for an underserved group,none,AV-specific,none,
Engineering/Safety,"Amy, Saanvi","Pedroff, J.",2025,Where to Look? A Review of External Autonomous Vehicle Signaling to Increase Pedestrian Safety,partial,Street-crossing signaling touches shared road space,none,,direct,"Framed as a communication-design problem, not community access or consent",none,,partial,Implied by explicit contrast with access/consent framing,none,AV-specific,none,
Engineering/Safety,"Amy, Saanvi","Lee, M.B., Lee, C.T., Abas, M.A., & Chong, W.W.F.",2025,Advancing pedestrian safety in the era of autonomous vehicles: A bibliometric analysis and pathway to effective regulations,partial,Field-wide bibliometric view of AV-pedestrian safety research,none,,direct,Dominated by engineering and statistical approaches; policy named as underdeveloped,none,,none,,partial,"Field-wide pattern, though only within the AV research domain",none,
Engineering/Safety,"Amy, Saanvi","Kooijman, L., Happee, R., & de Winter, J.C.F.",2019,How Do eHMIs Affect Pedestrians' Crossing Behavior? A Study Using a Head-Mounted Display Combined with a Motion Suit,partial,Crossing behavior study touches street space design,none,,direct,"Pedestrian encounter framed as signal-legibility optimization, closing with surveillance framing",none,,partial,Explicit contrast with who has standing to shape the street,none,AV-specific,none,
Engineering/Safety,"Amy, Saanvi","Pimenta, A.R., Kamruzzaman, M., & Currie, G.",2023,Long-term effects of autonomous vehicles on the built environment: a systematic scoping review towards conceptual frameworks,direct,Literally about AVs reshaping the built environment,direct,"Review shows built environment framed as engineered and forecast from above, never community-shaped",partial,Ownership-model framing (SAV/PAV) is market-driven rather than explicitly efficiency-labeled,none,Communities appear only as aggregate statistics,partial,No reviewed study considered redirecting freed parking to community-defined uses,none,AV-specific,none,
Engineering/Safety,"Amy, Saanvi","Park, J., Jang, S., & Ko, J.",2024,Effects of Exclusive Lanes for Autonomous Vehicles on Urban Expressways under Mixed Traffic of Autonomous and Human-Driven Vehicles,direct,"Exclusive AV lanes on urban expressways, road infrastructure",none,No community input discussed,direct,Entire study organized around network efficiency at a given AV market share,none,,none,,none,AV-specific,none,
Engineering/Safety,"Amy, Saanvi","Lu, Q., Tettamanti, T., Hörcher, D., & Varga, I.",2020,The impact of autonomous vehicles on urban traffic network capacity: an experimental analysis by microscopic traffic simulation,direct,Urban traffic network capacity is core infrastructure question,none,No community input discussed,direct,Explicitly prizes recovered road capacity without asking whom it serves,none,,none,,none,AV-specific,none,
Engineering/Safety,"Amy, Saanvi","Palatinus, Z., Volosin, M., Csabi, E., Hallgato, E., Hajnal, E., Lukovics, M., Pronay, S., Ujhazi, T., Osztobanyi, L., Szabo, B., Kralik, T., & Majo-Petri, Z.",2022,Physiological measurements in social acceptance of self driving technologies,partial,"Real vehicle ride, service-level not infrastructure-level",none,,partial,Frames acceptance as an individual measurable affective/physiological state,none,,none,,none,AV-specific,none,
Engineering/Safety,"Amy, Saanvi","Zoellick, J.C., Kuhlmey, A., Schenk, L., Schindel, D., & Bluher, S.",2019,Assessing acceptance of electric automated vehicles after exposure in a realistic traffic environment,partial,"Real shuttle service, not framed as infrastructure",none,,partial,Refines standard technology-acceptance measurement instruments,partial,"Human safety operator's talkativeness shaped riders' perceptions, a rare relational finding",partial,"That relational finding is treated as a confound to control for, not to design around",none,AV-specific,none,
Engineering/Safety,"Amy, Saanvi","Nordhoff, S., Stapel, J., van Arem, B., & Happee, R.",2020,Passenger opinions of the perceived safety and interaction with automated shuttles: A test ride study with 'hidden' safety steward,partial,"Real shuttle service, not explicitly infrastructure-framed",none,,direct,Whole encounter framed as perceived safety to optimize; non-compliant road users flagged to police,partial,"Relational cues, sharing the ride, trusting the operator, briefly surface",direct,"Explicitly shows the field approaching a relational framing, then turning back to safety/efficiency",none,AV-specific,none,
Equity,"Shashi, Aditya",Levine,2024,"""The bus is accessible, but how do you get to the bus"": First and last mile experiences of disabled transit riders",none,Not about AVs,direct,ADA-compliant infrastructure built without disabled riders' participation reproduces exclusion,partial,ADA compliance metrics are technical/compliance-driven,direct,"Own text: supports both halves; access unevenly distributed by disability, gender, race",direct,Compliance metrics ignore first/last-mile and diverse disability needs,direct,Direct non-AV evidence of the broader pattern,partial,Participants excluded from decisions; touches relational trust but not full provisioning framing
