Author(s),Central claim,DOI or URL,Gap or limitation,Journal or Proceedings,Key concepts or framework,Paper Title,Quotable moment,Relevance to argument,Synthesis paragraph,Year,Thread,Reviewers
"Hicks, D., Kingsley, G., & Isett, K.R.","The paper argues that U.S. state governments respond to the uncertainty of autonomous vehicle technology through two distinct advisory processes: an ""expert"" mode, in which administrative agencies commission technically credible reports from universities or their own engineering staff, and a ""convening"" mode, in which political actors such as governors assemble broad stakeholder task forces to build legitimacy for their recommendations.",https://doi.org/10.1093/polsoc/puae041,"The study can only analyze reports that were findable online, so it likely misses advice generated informally or through channels that were never published, and its measures of legitimacy and credibility are based on report characteristics like length and references rather than on whether the advice changed any actual policy outcome.",Policy and Society,"Policy advisory system: the network of committees, agencies, and outside experts that governments draw on to make sense of an emerging technology. 
Salience, legitimacy, and credibility: the three qualities that determine whether knowledge is seen as useful to a policymaker. 
Expert versus convening mode: two contrasting approaches to gathering advice, one prioritizing technical rigor and the other prioritizing broad participation. 
Task force: a stakeholder group assembled by a governor's office to represent multiple interests in a policy report.",Steering the future: expert knowledge and stakeholder voices in autonomous vehicle policy reports,"""The value tends to lie in the engagement, which creates a community of interest"" (Discussion, pg 19)","This paper directly names the ""regulators"" our item calls for and shows how even AV policymaking processes explicitly designed to seek public legitimacy still route almost entirely through government officials, consultants, and industry representatives. It is useful evidence that the discourse treats broad ""stakeholder engagement"" as a matter of assembling the right experts and interest groups, not of consulting the communities the technology will actually operate in.","Read together, these papers answer our question with striking consistency: engineering and safety-dominant AV discourse centers the people who build, certify, and optimize the machine, and treats everyone else as a factor to be managed. Regulators gather experts rather than communities. Trust becomes a number to fine-tune. Take-over, pedestrian signaling, and traffic flow are all measured for reaction time and road capacity. Even older adults and pedestrians show up mainly as groups to be screened, tracked, or moved along faster. What stands out, though, is not that community need is missing, but that it keeps appearing and then getting turned away. Several studies do touch on the human, relational side of mobility, a rider trusting an operator, a passenger sharing a seat, fairness in who gets picked up, only to fold that insight back into brand acceptance, compliance, or in one case reporting non-compliant road users to the police. The field clearly has the language to treat mobility as a social relationship. It simply chooses not to. That choice is the gap our argument steps into.",2025,Engineering/Safety,"Amy, Saanvi"
"London, A.J. & Danks, D.","The paper argues that the one-time safety certification used for conventional vehicles is unsuited to autonomous vehicles, because an AV's competence is not a fixed property of the vehicle but depends heavily on the specific conditions it operates in and continues to change after deployment through software updates; the authors propose regulating AVs more like pharmaceuticals, with staged approval and ongoing post-market monitoring.",https://doi.org/10.1145/3278721.3278763,"The drug-approval analogy leaves an important difference unaddressed: a patient consents to take a specific drug, while pedestrians and neighbors who never opted in are exposed to an AV's failure modes, and the paper does not test or validate its proposal against any real regulatory case.","AAAI/ACM Conference on AI, Ethics, and Society (AIES '18)","Operational design domain: the specific set of road, weather, and traffic conditions within which an AV is actually competent to drive itself. 
Staged regulatory approval: a phased release process, expanding a system's permitted use only as safety data accumulates, modeled on how new drugs are approved. Post-market surveillance: continuous monitoring of a system's real-world performance after deployment, rather than a single pass or fail test at the outset.",Regulating Autonomous Vehicles: A Policy Proposal,"""Moreover, unlikeclinical drug trials where participants can provide informedconsent, the use of AVs on public roadways will potentiallyaffect many individuals who never gave such consent"" (Pros, Cons and Realism, pg 221)","This is a clear example of AV governance being framed purely as an engineering-certification problem: the entire proposal is about how regulators can verify a machine is safe, with no discussion of who decides an AV should be deployed in a given community or what purpose it should serve there.",,2018,Engineering/Safety,"Amy, Saanvi"
"Robles, P. & Mallinson, D.J.","The paper argues that the early spread of autonomous vehicle policy across U.S. states is driven mainly by policy learning, meaning states adopt similar rules because they are watching and copying one another and consulting shared intergovernmental organizations and industry groups, rather than because states are competing against each other to attract AV companies.",https://doi.org/10.1177/0160323X241262816 ,"Only 13 of 100 invited officials agreed to be interviewed, a 13 percent response rate, and the statistical model cannot fully separate policy learning from competitive pressure as the actual driving mechanism, a limitation the authors themselves acknowledge.",State and Local Government Review,"Policy diffusion: the process by which a policy innovation spreads from one government to another over time. 
Dyadic event history analysis (DEHA): a statistical method that models pairs of states, one that has adopted a policy and one that has not, to detect which factors predict the second state adopting it too. 
Network governance: the idea that policy decisions emerge from a web of state agencies, private industry, and intergovernmental bodies rather than from a single legislature acting alone.",Policy Learning and the Diffusion of Autonomous Vehicle Policy in the American States,"""While we demonstrate that learning is a key feature of the early spread of this policy innovation, one cannot ignore the growing competitive economic pressures facing the states."" (Conclusion)","This paper offers a current, well-evidenced picture of AV regulation as an insider conversation among state governments and industry, reinforcing the argument's claim that regulatory discourse names throughput, economic competitiveness, and interstate learning as its central concerns rather than resident or rider need.",,2024,Engineering/Safety,"Amy, Saanvi"
"Alkurdi, D. & Alsaid, A.","The paper argues that trust in Level 3 automated vehicles, where control shifts back and forth between the system and the driver, is shaped by six overlapping categories of factors, but that the underlying evidence base is so heavily concentrated in driving simulators and self-report surveys that current knowledge of how trust actually behaves in real-world driving remains limited.",https://doi.org/10.1177/10711813251369499,"The search covered only two databases, ACM Digital Library and Scopus, and was restricted to English-language studies, which the authors acknowledge may exclude relevant interdisciplinary or international research; as a review of existing work, it also cannot generate any new evidence beyond what the underlying 80 studies already found.","Proceedings of the Human Factors and Ergonomics Society Annual Meeting, 69(1), 1281-1283","Trust calibration: the idea that a driver's trust should match the automation's true competence, neither too high nor too low. 
PRISMA-guided review: a standardized method for searching, screening, and selecting studies for inclusion in a systematic review, used here to identify 80 eligible papers. 
Ecological validity: the extent to which findings from a controlled study, such as one run in a driving simulator, would hold up in real-world conditions.",Trust in Level 3 Automated Vehicles: A Systematic Literature Review,"""The review also revealed that research on trust in L3 driving remains largely confined to controlled environments, with 92.5% of studies conducted in simulators and only 7.5% in real-world settings."" (Outcome, pg 3)","This review provides recent, comprehensive evidence for the argument's claim that trust is treated as an individually measured psychological variable rather than a socially or relationally built property, and its own finding that over 90 percent of studies rely on simulators and surveys underscores how narrow the field's methods are.",,2025,Engineering/Safety,"Amy, Saanvi"
"Lee, J.D. & Kolodge, K.","The paper argues that consumers' trust in self-driving vehicles can be reverse-engineered from the open-ended comments attached to their survey ratings, and that because almost no respondent has actually ridden in one, this trust rests on societal and relational expectations, of manufacturers, brands, and government safety assurance, rather than on any direct experience of the vehicle itself.",https://doi.org/10.1177/0018720819872672 ,"Every respondent was a driver who had never experienced a self-driving vehicle and was therefore forced to imagine it, and the authors concede that availability bias, demographic variation, and the assumption that measured attitudes predict behavior all limit the findings, with availability, privacy, and fairness explicitly set aside as less salient than safety.","Human Factors: The Journal of the Human Factors and Ergonomics Society, 62(2), 260-277","Structural topic modeling (STM): a text-analysis method that treats words as data to surface recurring themes across thousands of open-ended comments, while letting outside variables such as the trust rating and survey year shift which themes appear. 
Dread risk: a heightened, disproportionate sense of risk attached to hazards that feel uncontrollable, unobservable, and catastrophic, which can depress trust regardless of a system's actual safety record. 
Disappointment, violation, and betrayal: three escalating readings of an automation failure, a mundane performance lapse, a broken social norm, or a fundamental breach of purpose, with the latter two doing far more damage to trust. 
Societal and relational trust: trust borrowed from expectations about institutions and from experience with analogous technologies, leaned on when a person has no direct experience of the system itself.",Exploring Trust in Self-Driving Vehicles Through Text Analysis,"""For example, the algorithms for sending a vehicle to pick up a passenger might be unfair and biased toward certain socioeconomic groups, similar to the
biases that have emerged in Uber’s ride request algorithms (Hanrahan, Ma, & Yuan, 2017), and algorithms more generally (Courtland, 2018)."" (Limitations and Generalization, pg 16)","This is a strong trust-in-automation anchor because it treats trust as something to be reverse-engineered from consumer ratings so that manufacturers can cultivate acceptance, reinforcing the argument's claim that the field measures trust as an individual attitude to be managed. Notably, it surfaces the very relational and societal bases of trust our thread cares about, then routes them back toward brand and manufacturer strategy rather than community authority. In its own limitations it even concedes that the algorithms dispatching a vehicle to a passenger may be biased against certain socioeconomic groups, but files this under future concerns less salient than safety.",,2020,Engineering/Safety,"Amy, Saanvi"
"Kraus, J., Scholz, D., Stiegemeier, D., & Baumann, M.","The paper argues that a driver's trust in an automated vehicle is a dynamic quantity continuously recalibrated in a feedback loop as the system performs: it climbs steadily during error-free driving, dips temporarily after take-overs and malfunctions, recovers as error-free operation resumes, and can be shielded from that dip altogether by giving the driver transparent information about the system's limitations beforehand.",https://doi.org/10.1177/0018720819853686,"The studies ran in a low-risk simulator with young, mostly student samples experiencing only single, mild malfunctions, and the authors concede that real-world risk, repeated or high-consequence malfunctions, and behavioral rather than self-reported trust measures all remain untested; nothing in the design speaks to riders who never take control.","Human Factors: The Journal of the Human Factors and Ergonomics Society, 62(5), 718-736","Trust calibration: matching a driver's level of trust to the automation's actual capabilities so the driver neither over-relies (misuse) nor under-relies (disuse) on the system. 
Dynamic trust model and updating feedback loop: the authors' framework in which trust is continuously revised as expectations formed before the drive are compared against the system's observed behavior during it. 
Take-over request (TOR): the system's handback of control to the driver when it reaches a condition it was not designed to handle. 
System transparency: how much a system discloses about its own limits and likely failures, here as advance information that inoculates trust against the shock of a malfunction.","The More You Know: Trust Dynamics and Calibration in Highly Automated Driving and the Effects of Take-Overs, System Malfunction, and System Transparency","""At the same time, an understanding of these processes seems important, as calibrated trust may serve as a benchmark for safe and efficient design of driving automation and the associated interaction strategies in terms of information provided prior to (tutorials, user guides, marketing, and training) and during system use (human-machine interface [HMI] concepts)."" (Introduction, pg 719)","This is a paradigmatic trust-in-automation anchor: trust is operationalized as a repeatedly measured scalar and framed explicitly as a benchmark for safe and efficient design, supporting the argument's claim that the discourse treats trust as an engineering control variable to be calibrated rather than a relational, accountability-based bond. It complements Lee and Kolodge by supplying the in-vehicle, simulator-based experimental version of the same reduction.",,2020,Engineering/Safety,"Amy, Saanvi"
"Zhang, B., de Winter, J., Varotto, S., Happee, R., & Martens, M.","The paper argues that drivers do not take over control from an automated vehicle as quickly as they are physically able to; instead, take-over time is shaped mainly by the urgency of the situation, the modality of the alert, and prior experience with take-overs, while handling a handheld device during automated driving substantially slows the response.",https://doi.org/10.1016/j.trf.2019.04.020 ,"All 129 included studies were conducted with ordinary working-age adult drivers, almost entirely in simulators rather than on real roads, so the meta-analysis has no data on elderly drivers, disabled drivers, or non-drivers, and it measures take-over time only, not whether the resulting maneuver was actually a safe one.","Transportation Research Part F: Traffic Psychology and Behaviour, 64, 285-307","Take-over time (TOT): the interval between the onset of a take-over request or a critical event and the moment the driver actually intervenes. 
Meta-analysis: a statistical technique for combining results across many separate studies to identify overall patterns, here using three complementary methods. 
Non-driving related task (NDRT): any secondary activity, such as reading or using a phone, that a driver engages in while the vehicle drives itself. 
Time budget: the amount of time available before a hazard must be addressed.",Determinants of take-over time from automated driving: A meta-analysis of 129 studies,"""The use of a handheld device strongly increased the mean TOT"" (Results, Pg 12)","As the most comprehensive quantitative synthesis in the take-over literature, this paper is strong evidence for how the field's core vocabulary, time budgets, urgency levels, and take-over quality, is built entirely around efficiency and safety-margin optimization rather than around the purpose or context of the trip being taken.",,2019,Engineering/Safety,"Amy, Saanvi"
"Peng, Q., Wu, Y., Qie, N., & Iwaki, S.","The paper argues that older drivers' weaker performance after a take-over request is better explained by specific executive-function abilities, particularly the ability to shift between tasks and update working memory, than by chronological age itself.",https://doi.org/10.1038/s41598-022-08522-4 ,"The driving task used a desktop simulator rather than a higher-fidelity setup, so part of the measured correlation between cognitive scores and driving performance may reflect general comfort with computer-based tasks rather than driving ability specifically, and the sample of 70 participants was drawn from a single Japanese city, limiting how broadly the findings generalize.","Scientific Reports, 12, 5410","Executive function: a set of higher-order cognitive control processes, broken down here into updating, inhibition, and shifting, each measured through a dedicated computerized task. 
Principal component analysis (PCA): a statistical technique that distills many separate test scores into a smaller number of underlying cognitive components. 
Take-over performance: operationalized in this study as the steadiness of steering after a take-over request and the time-to-collision at the moment of a lane change.",Age-related effects of executive function on takeover performance in automated driving,"""Similarly, our findings can guide quick screening for elderly drivers’ cognitive status for a TOR of highly automated vehicles, such as an exam for elderly drivers’ license updating, or a lite system monitoring the cognitive status of elderly drivers."" (Application)","This is the sub-theme's paper most directly relevant to an aging population: it treats older adults' relationship with automated vehicles almost entirely as a safety and cognitive-performance question to be measured and screened, illustrating how even research focused on an underserved group still frames that group through an engineering-safety lens rather than a service or relational one.",,2022,Engineering/Safety,"Amy, Saanvi"
"Pedroff, J.","The paper argues that no single external human-machine interface design is best for every purpose: text-based displays give pedestrians the clearest understanding of a vehicle's intent, light-bar signals produce the fastest reaction time, and designs that convey a vehicle's actual yielding intent consistently outperform designs that only show whether the vehicle is in automated mode.",https://doi.org/10.1177/10711813251370731 ,"The search was restricted to studies published in the last five years and written in English, and it explicitly excluded video-based, non-immersive studies, so it may miss earlier foundational work; nearly every included study also tested only a single pedestrian crossing in front of a single vehicle, leaving open how these signals would perform with multiple pedestrians or vehicles present at once.","Proceedings of the Human Factors and Ergonomics Society Annual Meeting, 69(1), 1198-1203","External human-machine interface (eHMI): any external signal, text, icon, light bar, or projection, that an automated vehicle uses to communicate with pedestrians in place of a driver's eye contact or hand gestures. 
Static versus dynamic eHMI: a static display shows only the vehicle's automation state, while a dynamic display conveys richer, situation-specific information such as yielding intent. 
Crossing initiation time (CIT): how quickly a pedestrian begins to cross after seeing a signal, the field's primary safety and efficiency outcome measure.",Where to Look? A Review of External Autonomous Vehicle Signaling to Increase Pedestrian Safety,"""While visual eHMI concepts have numerous demonstrated
benefits to pedestrian crossing and safety, one drawback is
that the user must be looking at the interface to derive its
meaning."" (Results, pg 1200)","As a 2025 update to the interaction-level AV literature, this review confirms that even the newest external-communication research remains organized entirely around signal design and crossing-time optimization, supporting the argument's claim that AV-pedestrian interaction is framed as a communication-design problem rather than a question of community access or consent.",,2025,Engineering/Safety,"Amy, Saanvi"
"Lee, M.B., Lee, C.T., Abas, M.A., & Chong, W.W.F.","The paper argues that research on autonomous vehicles and pedestrian safety, based on a bibliometric analysis of 368 publications from 2013 to 2023, clusters into three main areas, behavioral and interaction studies, collision-avoidance technology, and statistical risk analysis, but that the field's heavy reliance on controlled tests leaves policymakers without the real-world evidence needed to write effective regulations.",https://doi.org/10.1016/j.jtte.2024.05.004 ,"Because a bibliometric analysis only counts and maps existing publications, it cannot evaluate whether the most-cited studies actually reached correct or generalizable conclusions, only that they were widely read and cited, so it offers no independent evidence about pedestrian experience or need.","Journal of Traffic and Transportation Engineering (English Edition), 12(4), 772-794","Bibliometric analysis: a quantitative method for mapping a research field by studying patterns of publication, citation, and co-citation rather than reading each paper individually. 
Co-citation network: a map of which journals or papers tend to be cited together, revealing how different parts of a field relate to one another. 
Research cluster: a group of thematically related studies identified through the bibliometric mapping process.",Advancing pedestrian safety in the era of autonomous vehicles: A bibliometric analysis and pathway to effective regulations,"""Pedestrians account for 54% of the annual road traffic death toll of over 1.35 million fatalities (World Health Organization, 2018)."" (Introduction)","This paper offers a bird's-eye confirmation of the argument's central claim from a different angle: even mapped across the entire published literature, AV-pedestrian safety research is dominated by engineering and statistical approaches, with policy explicitly named as an underdeveloped area still catching up to the technology.",,2025,Engineering/Safety,"Amy, Saanvi"
