HIGH	"The bus is accessible, but how do you get to the bus": First and last mile experiences of disabled transit riders	papers/1-s2.0-S1077291X24000067-main.pdf
HIGH	Public transport inclusion and active aging: A systematic review on elderly mobility	papers/1-s2.0-S209575642400031X-main.pdf
HIGH	Bridging the gap: Do community needs assessments enhance public participation in transportation planning?	papers/1-s2.0-S2590198224001003-main.pdf
HIGH	Moving Towards Mobility Justice: Challenges and Considerations for Supporting Advocacy	papers/3637373.pdf
HIGH	Co-Creating Accessibility-Centred Mobility Strategies in Low-Density Suburban Contexts: Evidence from Coimbra, Portugal	papers/Accessibility Mobility Strategies Coimbra.pdf
HIGH	Toward Structured Public Involvement: Justice, Geography and Collaborative Geospatial/Geovisual Decision Support Systems	papers/BaileyandGrossardtAnnalsAAG10.pdf
HIGH	Centering disability justice in active transportation transitions: A conceptual counter-cartography	papers/Disability Justice in Transportation.pdf
HIGH	Performative versus Authentic Equity Work: An Assessment of Current Practices in Transportation Planning	papers/Equity Work Assessment in Transportation.pdf
HIGH	Assessing equity in infrastructure investment distribution among U.S. cities	papers/Equity in Infrastructure Investment.pdf
HIGH	Race, Space, and Struggles for Mobility: Transportation Impacts on African Americans in Oakland and the East Bay	papers/GolubMarcantonioSanchezRaceMobilityEastBayUrbanGeography2013.pdf
HIGH	Implementation science frameworks for active and sustainable transportation interventions with a focus on equity: A scoping review	papers/Implementation Science Frameworks for Transportation.pdf
HIGH	Inclusive Mobility: Dismantling transportation injustice at the intersection of race and disability	papers/Inclusive Mobility Transportation Injustice.pdf
HIGH	Inclusive and Accessible Transportation for All: Strategies for Integrating Equity in Transportation Research	papers/Inclusive Transportation Strategies.pdf
HIGH	Is the medium the message? Exploring the intersection of social media and collective action in the San Jose Bike Party	papers/Is the medium the message  Exploring the intersection of social media and collective action in the San Jos  Bike Party.pdf
HIGH	Achieving transportation equity: Meaningful public involvement to meet the needs of underserved communities	papers/KarnerMarcantonio_PWMP_preprint.pdf
HIGH	Limitations of Technical Approaches to Transport Planning Practice in Two Cases: Social Issues as a Critical Component of Urban Projects	papers/Limitations of Technical Approaches to Transport Planning Practice in Two Cases  Social Issues as a Critical Component of Urban Projects.pdf
HIGH	Lived expertise of the structurally disadvantaged: towards a more just participatory transport planning process	papers/Lived Expertise Transport Planning.pdf
HIGH	Mindsets and actions: Shifts in equitable and sustainable development in U.S. cities	papers/Mindsets and Actions in U.S. Cities.pdf
HIGH	Mobilising equity. Emerging evidence for integrating vulnerable communities	papers/1-s2.0-S2667091726000014-main.pdf
HIGH	Mobility Injustice by Design	papers/Mobility Injustice by Design Preview.pdf
HIGH	Mobility justice and accessible public transport networks for people with intellectual disability	papers/Mobilityjusticeandaccessiblepublictransportnetworksforpeoplewithintellectualdisability.pdf
HIGH	North Florida Stakeholder Perspectives: Gaps, Barriers, and Facilitators in the Transportation System	papers/North Florida Transportation Perspectives.pdf
HIGH	Quantification of latent travel demand across age groups with a focus on older adults: a theoretical framework with empirical evidence from China	papers/Quantification of latent travel demand across age groups with a focus on older adults_ a theoretical framework with empirical evidence from China - ScienceDirect.pdf
HIGH	Beyond research delays: science funding disruptions limit community participation in climate and infrastructure planning	papers/Science Funding Disruptions.pdf
HIGH	Towards Environmental Justice in Transportation Decision Making using Structured Public Involvement	papers/TRBEJApril15th2012Final.pdf
HIGH	The dignity experience of people with disability when using trains and buses in an Australian city	papers/The dignity experience of people with disability when using trains and buses in an Australian city.pdf
HIGH	The equity-environmental sustainability nexus in autonomous vehicles: An integrated framework for policy and planning	papers/The equity-environmental sustainability nexus in autonomous vehicles_ An integrated framework for policy and planning - ScienceDirect.pdf
HIGH	Travelling in the margins: Impacts of transport poverty on travel attitudes and behaviours	papers/Transport Poverty Travel Attitudes.pdf
HIGH	Transportation barriers and equity: Values and experiences of elected officials	papers/Transportation Barriers and Equity.pdf
HIGH	Investigating unfulfilled travel needs for people with travel-limiting conditions using the 2017 National Household Travel Survey (NHTS) data	papers/Travel Needs Study NHTS 2017.pdf
HIGH	The promise of Universal Basic Mobility	papers/Universal Basic Mobility.pdf
HIGH	Urban planning, the built environment, and subjective well-being: A review of recent research advances	papers/Urban Planning Review.pdf
HIGH	Who faces travel constraints? Analyzing household and individual travel challenges in automobile-dependent central Texas	papers/Who faces travel constraints_ Analyzing household and individual travel challenges in automobile-dependent central Texas - ScienceDirect.pdf
HIGH	From transportation equity to transportation justice: Within, through, and beyond the state	papers/dot_67311_DS1.pdf
HIGH	Enhancing Equity in Public Transportation Using Geographic Information Systems and Spatial Optimization	papers/enhancing-equity-in-public-transportation-using-geographic-1qanjjl4c1.pdf
HIGH	Integrating equity in transportation scenario planning: A systematic review	papers/manuscript_scenarioplanning_revised_clean.pdf
HIGH	Inclusive planning: African policy inventory and South African mobility case study on the exclusion of persons with disabilities	papers/s12961-021-00775-1.pdf
HIGH	Transit Equity in the Face of the COVID-19 Pandemic: A Study of Six Ontario Transit Authorities	papers/ssrn-3977617.pdf
HIGH	Bike Share Equity for Underrepresented Groups: Analyzing Barriers to System Usage in Baltimore, Maryland	papers/sustainability-12-07600.pdf
